date,item,store,price,url
2026-05-26,Dried white beans,Carrefour,2.45,https://www.carrefour.es/supermercado/alubia-blanca-categoria-extra-carrefour-1-kg/R-740822685/p
2026-05-26,Potato,Carrefour,1.77,https://www.carrefour.es/supermercado/patata-para-guarnicion-carrefour-el-mercado-1-kg/R-693401847/p
2026-05-26,Sweet potato,Carrefour,2.89,https://www.carrefour.es/supermercado/boniato-carrefour-1-kg-aprox/R-VC4AECOMM-645288/p
2026-05-26,Onion,Carrefour,2.39,https://www.carrefour.es/supermercado/cebolla-dulce-carrefour-el-mercado-1-kg/R-prod360126/p
2026-05-26,Carrot,Carrefour,1.19,https://www.carrefour.es/supermercado/zanahoria-circulo-de-calidad-carrefour-1-kg/R-prod223071/p
2026-05-26,Bell pepper,Carrefour,2.15,https://www.carrefour.es/supermercado/pimiento-rojo-granel-1-kg-aprox/R-532601619/p
2026-05-26,Mushroom,Carrefour,4.97,https://www.carrefour.es/supermercado/champinon-pie-cortado-carrefour-200-g-aprox/R-fprod1220162/p
2026-05-26,Cauliflower,Carrefour,2.25,https://www.carrefour.es/supermercado/coliflor-verde-1-kg/R-616101640/p
2026-05-26,Spinach,Carrefour,4.17,https://www.carrefour.es/supermercado/espinaca-troceada-carrefour-el-mercado-300-g/R-526574300/p
2026-05-26,Green beans,Carrefour,5.60,https://www.carrefour.es/supermercado/judia-fina-flow-pack-250-g/R-521015254/p
2026-05-26,Eggplant,Carrefour,2.15,https://www.carrefour.es/supermercado/berenjena-carrefour-a-granel-1-kg-aprox/R-VC4AECOMM-394518/p
2026-05-26,Banana,Carrefour,1.49,https://www.carrefour.es/supermercado/banana-a-granel-1-kg-aprox/R-529921745/p
2026-05-26,Apple,Carrefour,1.95,https://www.carrefour.es/supermercado/manzana-golden-circulo-de-calidad-a-granel-1-kg-aprox/R-532601637/p
2026-05-26,Kiwi,Carrefour,3.19,https://www.carrefour.es/supermercado/kiwi-1-kg-aprox/R-530066908/p
2026-05-26,Orange,Carrefour,1.89,https://www.carrefour.es/supermercado/naranja-de-mesa-carrefour-1-kg-aprox/R-VC4AECOMM-494114/p
2026-05-26,Avocado,Carrefour,4.99,https://www.carrefour.es/supermercado/aguacate-carrefour-700-g-aprox/R-VC4AECOMM-530083/p
2026-05-26,Almonds,Carrefour,11.22,https://www.carrefour.es/supermercado/almendra-natural-frumesa-400-g/R-VC4AECOMM-665516/p
2026-05-26,Walnuts,Carrefour,6.14,https://www.carrefour.es/supermercado/nueces-con-cascara-carrefour-650-g/R-prod271104/p
2026-05-26,Hazelnuts,Carrefour,21.45,https://www.carrefour.es/supermercado/avellana-natural-original-carrefour-200-g/R-VC4AECOMM-692615/p
2026-05-26,Pork loin,Carrefour,6.81,https://www.carrefour.es/supermercado/filetes-de-centro-de-lomo-de-cerdo-540-g-aprox/R-521032953/p
2026-05-26,Chicken breast,Carrefour,5.99,https://www.carrefour.es/supermercado/pechuga-de-pollo-en-filetes-carrefour-el-mercado-1-kg-aprox/R-VC4AECOMM-577606/p
2026-05-26,Chicken thigh,Carrefour,3.29,https://www.carrefour.es/supermercado/jamoncitos-de-pollo-carrefour-el-mercado-1-kg-aprox/R-VC4AECOMM-577598/p
2026-05-26,Plain natural yogurt,Carrefour,1.40,https://www.carrefour.es/supermercado/yogur-natural-carrefour-pack-de-8-unidades-de-125-g/R-VC4AECOMM-441067/p
2026-05-26,Eggs (up to 12),Carrefour,3.19,https://www.carrefour.es/supermercado/huevos-frescos-carrefour-el-mercado-12-ud/R-VC4AECOMM-307927/p
2026-05-26,Brown rice,Caprabo,1.65,https://www.capraboacasa.com/es/productdetail/22383343-arroz-integral-eroski-paquete-1-kg/
2026-05-26,Dried lentils,Caprabo,1.95,https://www.capraboacasa.com/es/productdetail/25948381-lenteja-pardina-eroski-paquete-1-kg/
2026-05-26,Cooked chickpeas,Caprabo,2.13,https://www.capraboacasa.com/es/productdetail/25948423-garbanzo-cocido-eroski-frasco-400-g/
2026-05-26,Dried white beans,Caprabo,2.50,https://www.capraboacasa.com/es/productdetail/25946732-alubia-blanca-larga-eroski-paquete-500-g/
2026-05-26,Potato,Caprabo,1.65,https://www.capraboacasa.com/es/productdetail/26220798-patata-roja-al-peso-compra-minima-1-kg/
2026-05-26,Sweet potato,Caprabo,3.35,https://www.capraboacasa.com/es/productdetail/179481-boniato-al-peso-compra-minima-1-kg/
